gene_id,Entrez_Gene_Id,Hugo_Symbol
35438,,CMTM3
34203,,CMTM8
35889,,CNBP
32799,,CNEP1R1
33714,,CNFN
36428,,CNMD
35260,,CNNM3
35759,,CNNM4
33717,,CNOT10
32808,,CNOT11
32772,,CNOT9
36302,,CNPY3
33702,,CNR2
34930,,CNRIP1
35653,,COA4
34078,,COA5
35546,,COA6
34759,,COIL
34106,,COMMD2
34966,,COMMD3
36008,,COMMD4
34089,,COMMD5
33697,,COMMD6
33457,,COMTD1
34264,,COP1
35639,,COPE
33396,,COPS5
35142,,COPS7A
34925,,COPS9
34896,,COPZ1
33582,,COQ8A
35771,,COQ8B
34329,,CORO1B
36636,,CORO2A
32792,,CORT
34770,,COTL1
36273,,COX14
36259,,COX16
36578,,COX17
34381,,COX19
34275,,COX5A
33733,,COX6A2
36434,,COX6B1
34952,,COX6B2
33965,,COX6C
33662,,COX7A1
33086,,COX7A2
33289,,COX7A2L
34486,,COX7B
36050,,COX7C
36143,,COX8A
35054,,COX8C
35478,,CPLANE1
35627,,CPLANE2
34614,,CPLX1
36654,,CPNE2
33287,,CPOX
36565,,CPSF4L
36348,,CPTP
10696,,CR812485.1
10420,,CR848007.2
34260,,CRABP2
33415,,CRACR2A
35800,,CRACR2B
34339,,CRADD
35920,,CRAMP1
36528,,CRAT
33722,,CRBN
32778,,CRCT1
33882,,CREB3
33035,,CREG1
34512,,CREG2
33100,,CRH
36304,,CRIP2
35828,,CRIP3
35949,,CRIPT
35648,,CRK
36610,,CRLS1
35575,,CROCC2
32977,,CRYAB
33773,,CRYBA1
33435,,CRYBB2
36718,,CRYBG1
33964,,CRYBG2
35749,,CRYGS
34073,,CRYL1
36544,,CRYZL1
35026,,CSAG1
34769,,CSDC2
32903,,CSF3R
33817,,CSK
34787,,CSNK2A2
32815,,CSNK2A3
34724,,CSNK2B
36003,,CSRP3
33585,,CST6
34592,,CSTF3
35350,,CT47A1
35379,,CT47A10
35540,,CT47A11
35000,,CT47A12
35969,,CT47A2
33156,,CT47A3
36449,,CT47A4
36203,,CT47A5
36191,,CT47A6
33767,,CT47A7
35571,,CT47A8
35246,,CT47A9
9195,,CT49
35588,,CT62
10997,,CT64
33416,,CT83
15688,,CTA-134P22.2
18407,,CTA-242H14.1
9198,,CTA-392E5.1
35886,,CTAG1B
36664,,CTAGE4
35396,,CTAGE8
15869,,CTB-1048E9.7
7846,,CTB-111H14.1
12497,,CTB-114C7.4
14212,,CTB-134H23.2
15348,,CTB-147C22.3
17204,,CTB-167G5.5
18271,,CTB-181F24.1
18383,,CTB-186H2.2
11611,,CTB-31N19.2
16927,,CTB-52I2.4
18432,,CTB-63M22.1
8503,,CTB-78H18.1
18493,,CTB-88F18.4
18397,,CTB-91J4.1
15535,,CTB-95D12.1
10663,,CTC-228N24.1
18135,,CTC-305H11.1
8929,,CTC-340A15.2
11006,,CTC-347C20.1
18501,,CTC-444N24.8
9770,,CTC-457E21.3
16358,,CTC-457E21.5
11759,,CTC-457E21.6
12121,,CTC-471F3.5
18563,,CTC-484M2.1
8803,,CTC-490E21.12
7637,,CTC-490E21.13
18399,,CTC-490G23.4
9220,,CTC-512J14.5
4552,,CTC-512J14.7
15269,,CTC-513N18.6
10564,,CTC-546K23.1
